Method;File;Num Communities;Modularity;Jaccard Index;Normalized Mutual Information;Normalized Variation of Information
Agglomerative;primaryschool_u.net;3;0,22837991271356453;0,17287872370464494;0,4687811295431018;0,3121360087812674
Louvain;primaryschool_u.net;6;0,2840350373975989;0,45345534869043863;0,7479197115099028;0,1874251294646694
InfoMap;primaryschool_u.net;1;0,0;0,08983101096946339;0,0;0,43320420161151957
Agglomerative;primaryschool_w.net;3;0,3511179284911609;0,17287872370464494;0,4687811295431018;0,3121360087812674
Louvain;primaryschool_w.net;6;0,6727315240880087;0,48609375;0,7212456751693872;0,2097064191646654
InfoMap;primaryschool_w.net;1;0,0;0,08983101096946339;0,0;0,43320420161151957
