Method;File;Num Communities;Modularity;Jaccard Index;Normalized Mutual Information;Normalized Variation of Information
InfoMap;synthetic_network_N_300_blocks_5_prr_0.28_prs_0.02.net;5;0,5713494530159705;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.30_prs_0.02.net;5;0,579571886613935;0,9866442199775534;0,9578475130551617;0,023787947712667904
Louvain;synthetic_network_N_300_blocks_5_prr_0.30_prs_0.02.net;5;0,583699314155445;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.30_prs_0.02.net;5;0,583699314155445;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.32_prs_0.02.net;5;0,5896567218197197;0,9866442199775534;0,9578475130551617;0,023787947712667904
Louvain;synthetic_network_N_300_blocks_5_prr_0.32_prs_0.02.net;5;0,5936062502029501;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.32_prs_0.02.net;5;0,5936062502029501;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.34_prs_0.02.net;5;0,6046403381326081;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.34_prs_0.02.net;5;0,6046403381326081;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.34_prs_0.02.net;5;0,6046403381326081;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.36_prs_0.02.net;5;0,6131109241825149;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.36_prs_0.02.net;5;0,6131109241825149;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.36_prs_0.02.net;5;0,6131109241825149;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.38_prs_0.02.net;5;0,620861378297332;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.38_prs_0.02.net;5;0,620861378297332;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.38_prs_0.02.net;5;0,620861378297332;1,0;1,0;0,0
